# California county outlines for the Caltrans district lookup.
# Read: U.S. Census Bureau 2023 cartographic boundary file, counties,
# 1:20,000,000 (cb_2023_us_county_20m.zip), public domain. Coordinates
# rounded to 4 decimals. Regenerate: uv run python tools/build_ca_county_outlines.py
# One ring per line: county name, a tab, then lon,lat pairs separated by spaces.
Nevada	-121.2797,39.1433 -121.2661,39.2727 -121.1275,39.3802 -121.0221,39.3916 -120.7557,39.4527 -120.6543,39.5269 -120.5751,39.5223 -120.5054,39.4461 -120.0030,39.4450 -120.0048,39.3165 -120.6458,39.3152 -120.6911,39.3041 -120.8579,39.2062 -120.9863,39.1022 -121.0675,39.0054 -121.1374,39.0379 -121.2218,39.0120 -121.2795,39.0346 -121.2797,39.1433
Orange	-118.0930,33.7861 -118.0590,33.8462 -118.0288,33.8733 -117.9766,33.9064 -117.9765,33.9460 -117.9200,33.9461 -117.8684,33.9459 -117.7833,33.9463 -117.6730,33.8710 -117.6621,33.8575 -117.5340,33.7104 -117.4130,33.6590 -117.4579,33.6022 -117.4927,33.5577 -117.5097,33.5050 -117.5086,33.4696 -117.5785,33.4539 -117.5962,33.3870 -117.6456,33.4407 -117.7153,33.4606 -117.7265,33.4834 -117.7391,33.4933 -117.8142,33.5522 -117.8403,33.5735 -117.9271,33.6055 -118.0006,33.6543 -118.0889,33.7298 -118.1151,33.7438 -118.0930,33.7861
Placer	-121.4694,38.9260 -121.4144,38.9262 -121.4148,38.9965 -121.3060,39.0529 -121.2795,39.0346 -121.2218,39.0120 -121.1374,39.0379 -121.0675,39.0054 -120.9863,39.1022 -120.8579,39.2062 -120.6911,39.3041 -120.6458,39.3152 -120.0048,39.3165 -120.0051,39.2913 -120.0034,39.1656 -120.0026,39.1127 -120.0020,39.0675 -120.1437,39.0673 -120.1841,39.0310 -120.4352,39.0284 -120.4710,38.9655 -120.5637,38.9137 -120.6425,38.9444 -120.7464,39.0104 -120.8123,39.0001 -120.8589,38.9523 -120.9403,38.9623 -121.0404,38.9157 -121.0609,38.8456 -121.0873,38.8333 -121.1416,38.7119 -121.2428,38.7182 -121.4844,38.7346 -121.4694,38.9260
Plumas	-121.4976,40.4456 -121.3615,40.4468 -121.3278,40.4454 -121.0614,40.4465 -121.0615,40.2564 -120.9286,40.1919 -120.7644,40.3160 -120.6522,40.3077 -120.5108,40.2489 -120.4459,40.1769 -120.3414,40.1152 -120.2096,40.0860 -120.2013,40.0135 -120.1088,39.9395 -120.1106,39.7658 -120.1471,39.7077 -120.6542,39.7066 -120.6808,39.6768 -120.7925,39.7098 -120.8710,39.7768 -121.0095,39.6395 -121.0767,39.5973 -121.1367,39.6282 -121.2109,39.7257 -121.3508,39.8257 -121.4300,39.9003 -121.4195,40.0158 -121.3668,40.0861 -121.4369,40.1519 -121.3684,40.2122 -121.3423,40.3098 -121.4704,40.3502 -121.4976,40.4456
Riverside	-117.6730,33.8710 -117.6554,33.9243 -117.6109,33.9251 -117.6109,33.9460 -117.6109,33.9718 -117.5502,34.0335 -117.4015,34.0340 -117.3754,34.0194 -117.2961,34.0183 -117.2254,34.0053 -117.1996,34.0041 -116.9336,34.0049 -116.9296,34.0341 -116.3006,34.0325 -115.3162,34.0341 -115.3161,34.0778 -115.1361,34.0797 -114.4563,34.0799 -114.4301,34.0789 -114.4355,34.0426 -114.4548,34.0110 -114.5096,33.9573 -114.5350,33.9285 -114.5087,33.9006 -114.5056,33.8643 -114.5205,33.8278 -114.5049,33.7605 -114.4966,33.7192 -114.5050,33.6930 -114.5252,33.6616 -114.5292,33.6067 -114.5246,33.5522 -114.5973,33.4907 -114.6291,33.4335 -114.8308,33.4301 -115.4675,33.4270 -116.0852,33.4259 -116.1976,33.4289 -116.6230,33.4273 -117.2249,33.4320 -117.3643,33.5050 -117.5097,33.5050 -117.4927,33.5577 -117.4579,33.6022 -117.4130,33.6590 -117.5340,33.7104 -117.6621,33.8575 -117.6730,33.8710
Sacramento	-121.8616,38.0699 -121.7121,38.0855 -121.6567,38.1831 -121.6145,38.1965 -121.5933,38.3131 -121.5767,38.3275 -121.5216,38.3601 -121.5087,38.5968 -121.5536,38.6033 -121.6338,38.6862 -121.6029,38.7358 -121.4844,38.7346 -121.2428,38.7182 -121.1416,38.7119 -121.1190,38.7179 -121.0414,38.5407 -121.0275,38.5083 -121.0271,38.3003 -121.1731,38.2552 -121.3440,38.2283 -121.4757,38.2581 -121.5800,38.0944 -121.6731,38.0935 -121.7517,38.0243 -121.8157,38.0210 -121.8625,38.0660 -121.8616,38.0699
San Benito	-121.6440,36.8940 -121.5814,36.8992 -121.4889,36.9831 -121.4182,36.9605 -121.2154,36.9612 -121.2347,36.9269 -121.1415,36.8367 -120.9187,36.7404 -120.5972,36.4882 -120.5966,36.3285 -120.6786,36.2673 -120.7583,36.3086 -120.7177,36.2600 -120.7182,36.1968 -120.7615,36.2036 -120.8651,36.2926 -120.9206,36.3110 -121.0272,36.2599 -121.0408,36.3240 -121.1935,36.4458 -121.2441,36.5069 -121.3118,36.5027 -121.3184,36.6100 -121.3501,36.6484 -121.4681,36.6855 -121.4513,36.7248 -121.5977,36.8374 -121.6440,36.8940
San Bernardino	-117.8024,33.9683 -117.7677,34.0235 -117.7460,34.0201 -117.7294,34.0255 -117.7112,34.0795 -117.6936,34.1216 -117.6464,34.2892 -117.6552,34.3970 -117.6552,34.3972 -117.6675,34.8225 -117.6322,34.8223 -117.6322,34.9909 -117.6313,35.4196 -117.6337,35.4393 -117.6343,35.6516 -117.6521,35.7099 -117.6343,35.7973 -117.2510,35.7950 -116.2773,35.7934 -115.7359,35.7936 -115.6480,35.8096 -115.6477,35.8094 -115.4045,35.6176 -115.3037,35.5382 -115.1601,35.4241 -115.0438,35.3320 -114.9482,35.2552 -114.8042,35.1397 -114.6335,35.0019 -114.6298,34.9430 -114.6344,34.8729 -114.5765,34.8153 -114.4910,34.7248 -114.4652,34.6912 -114.4224,34.5807 -114.3782,34.5165 -114.3789,34.4504 -114.3354,34.4500 -114.2643,34.4013 -114.1728,34.3450 -114.1409,34.3059 -114.1408,34.3031 -114.1391,34.2595 -114.1780,34.2400 -114.2297,34.1869 -114.2928,34.1667 -114.3481,34.1345 -114.4059,34.1115 -114.4280,34.0928 -114.4301,34.0789 -114.4563,34.0799 -115.1361,34.0797 -115.3161,34.0778 -115.3162,34.0341 -116.3006,34.0325 -116.9296,34.0341 -116.9336,34.0049 -117.1996,34.0041 -117.2254,34.0053 -117.2961,34.0183 -117.3754,34.0194 -117.4015,34.0340 -117.5502,34.0335 -117.6109,33.9718 -117.6109,33.9460 -117.6109,33.9251 -117.6554,33.9243 -117.6730,33.8710 -117.7833,33.9463 -117.8024,33.9683
San Diego	-117.5962,33.3870 -117.5785,33.4539 -117.5086,33.4696 -117.5097,33.5050 -117.3643,33.5050 -117.2249,33.4320 -116.6230,33.4273 -116.1976,33.4289 -116.0852,33.4259 -116.1033,33.0747 -116.1062,32.6186 -116.5406,32.5837 -116.6270,32.5763 -116.8532,32.5578 -116.8572,32.5575 -117.1249,32.5342 -117.1320,32.5856 -117.1367,32.6188 -117.1689,32.6720 -117.1968,32.6889 -117.2461,32.6694 -117.2552,32.7001 -117.2550,32.7869 -117.2810,32.8222 -117.2822,32.8395 -117.2739,32.8514 -117.2629,32.8493 -117.2562,32.8594 -117.2545,32.9001 -117.2637,32.9395 -117.2808,33.0123 -117.3153,33.0935 -117.3626,33.1684 -117.4456,33.2685 -117.5477,33.3655 -117.5959,33.3866 -117.5962,33.3870
San Francisco	-122.5120,37.7711 -122.4654,37.8009 -122.3981,37.8056 -122.3853,37.7907 -122.3765,37.7386 -122.3568,37.7295 -122.3617,37.7150 -122.3898,37.7083 -122.3951,37.7083 -122.4691,37.7082 -122.5007,37.7081 -122.5120,37.7711
